"","minfunc","minfunc_num","variable","expo","rsquared"
"1","stress",1,1,1,0.512
"2","stress",1,2,1,0.482
"3","stress",1,3,1,0.46
"4","stress",1,4,1,0.408
"5","stress",1,5,1,0.514
"6","stress",1,6,1,0.474
"7","stress",1,7,1,0.529
"8","stress",1,8,1,0.467
"9","stress",1,9,1,0.507
"10","stress",1,10,1,0.488
"11","stress",1,11,1,0.557
"12","stress",1,12,1,0.578
"13","stress",1,13,1,0.608
"14","stress",1,14,1,0.63
"15","stress",1,15,1,0.614
"16","stress",1,16,1,0.472
"17","stress",1,17,1,0.617
"18","stress2",2,1,1,0.512
"19","stress2",2,2,1,0.482
"20","stress2",2,3,1,0.46
"21","stress2",2,4,1,0.408
"22","stress2",2,5,1,0.503
"23","stress2",2,6,1,0.464
"24","stress2",2,7,1,0.525
"25","stress2",2,8,1,0.462
"26","stress2",2,9,1,0.488
"27","stress2",2,10,1,0.486
"28","stress2",2,11,1,0.537
"29","stress2",2,12,1,0.553
"30","stress2",2,13,1,0.614
"31","stress2",2,14,1,0.63
"32","stress2",2,15,1,0.607
"33","stress2",2,16,1,0.471
"34","stress2",2,17,1,0.601
"35","force",3,1,1,0.512
"36","force",3,2,1,0.482
"37","force",3,3,1,0.46
"38","force",3,4,1,0.408
"39","force",3,5,1,0.513
"40","force",3,6,1,0.475
"41","force",3,7,1,0.528
"42","force",3,8,1,0.469
"43","force",3,9,1,0.487
"44","force",3,10,1,0.452
"45","force",3,11,1,0.554
"46","force",3,12,1,0.573
"47","force",3,13,1,0.616
"48","force",3,14,1,0.63
"49","force",3,15,1,0.613
"50","force",3,16,1,0.471
"51","force",3,17,1,0.614
"52","force2",4,1,1,0.512
"53","force2",4,2,1,0.482
"54","force2",4,3,1,0.46
"55","force2",4,4,1,0.408
"56","force2",4,5,1,0.515
"57","force2",4,6,1,0.474
"58","force2",4,7,1,0.529
"59","force2",4,8,1,0.469
"60","force2",4,9,1,0.499
"61","force2",4,10,1,0.493
"62","force2",4,11,1,0.569
"63","force2",4,12,1,0.584
"64","force2",4,13,1,0.616
"65","force2",4,14,1,0.636
"66","force2",4,15,1,0.621
"67","force2",4,16,1,0.493
"68","force2",4,17,1,0.617
"69","actstate",5,1,1,0.512
"70","actstate",5,2,1,0.482
"71","actstate",5,3,1,0.46
"72","actstate",5,4,1,0.408
"73","actstate",5,5,1,0.515
"74","actstate",5,6,1,0.475
"75","actstate",5,7,1,0.53
"76","actstate",5,8,1,0.469
"77","actstate",5,9,1,0.496
"78","actstate",5,10,1,0.491
"79","actstate",5,11,1,0.565
"80","actstate",5,12,1,0.584
"81","actstate",5,13,1,0.616
"82","actstate",5,14,1,0.634
"83","actstate",5,15,1,0.619
"84","actstate",5,16,1,0.489
"85","actstate",5,17,1,0.617
"86","actstate2",6,1,1,0.512
"87","actstate2",6,2,1,0.482
"88","actstate2",6,3,1,0.46
"89","actstate2",6,4,1,0.408
"90","actstate2",6,5,1,0.516
"91","actstate2",6,6,1,0.474
"92","actstate2",6,7,1,0.531
"93","actstate2",6,8,1,0.469
"94","actstate2",6,9,1,0.498
"95","actstate2",6,10,1,0.446
"96","actstate2",6,11,1,0.581
"97","actstate2",6,12,1,0.589
"98","actstate2",6,13,1,0.618
"99","actstate2",6,14,1,0.64
"100","actstate2",6,15,1,0.629
"101","actstate2",6,16,1,0.481
"102","actstate2",6,17,1,0.614
"103","drive",7,1,1,0.512
"104","drive",7,2,1,0.482
"105","drive",7,3,1,0.46
"106","drive",7,4,1,0.408
"107","drive",7,5,1,0.515
"108","drive",7,6,1,0.477
"109","drive",7,7,1,0.523
"110","drive",7,8,1,0.466
"111","drive",7,9,1,0.492
"112","drive",7,10,1,0.45
"113","drive",7,11,1,0.53
"114","drive",7,12,1,0.53
"115","drive",7,13,1,0.611
"116","drive",7,14,1,0.614
"117","drive",7,15,1,0.606
"118","drive",7,16,1,0.479
"119","drive",7,17,1,0.619
"120","drive2",8,1,1,0.512
"121","drive2",8,2,1,0.482
"122","drive2",8,3,1,0.46
"123","drive2",8,4,1,0.408
"124","drive2",8,5,1,0.515
"125","drive2",8,6,1,0.475
"126","drive2",8,7,1,0.529
"127","drive2",8,8,1,0.469
"128","drive2",8,9,1,0.492
"129","drive2",8,10,1,0.469
"130","drive2",8,11,1,0.568
"131","drive2",8,12,1,0.581
"132","drive2",8,13,1,0.615
"133","drive2",8,14,1,0.634
"134","drive2",8,15,1,0.622
"135","drive2",8,16,1,0.476
"136","drive2",8,17,1,0.617
"137","umberger",9,1,1,0.512
"138","umberger",9,2,1,0.482
"139","umberger",9,3,1,0.46
"140","umberger",9,4,1,0.408
"141","umberger",9,5,1,0.515
"142","umberger",9,6,1,0.475
"143","umberger",9,7,1,0.53
"144","umberger",9,8,1,0.469
"145","umberger",9,9,1,0.496
"146","umberger",9,10,1,0.472
"147","umberger",9,11,1,0.567
"148","umberger",9,12,1,0.579
"149","umberger",9,13,1,0.616
"150","umberger",9,14,1,0.634
"151","umberger",9,15,1,0.622
"152","umberger",9,16,1,0.482
"153","umberger",9,17,1,0.618
